Category,Workplace,Location,Department,Type,City,Region,Country,Workplace_Standardized,Employment_Type,Department_Category,Category_Normalized,Country_Normalized,City_Normalized,Job_ID,Location_ID,Department_ID,Category_ID,Priority_Class,Geographic_Region,Demand_Score,Demand_Score_Normalized,Created_At,Data_Quality_Score,Is_Active,Job_Description
Business Analyst,Remote,United Kingdom,Operations,Full time,Unknown,Unknown,United Kingdom,Remote,Full-Time,Operations,Business Analyst,United Kingdom,Unknown,JOB_000001,LOC_0234,DEPT_0166,CAT_000,Normal-High,Europe,14,26.92,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is a fully remote Full-Time position."
Business Analyst,Remote,"Makati, Metro Manila, Philippines",Aux HQ,Full time,Makati,Metro Manila,Philippines,Remote,Full-Time,Other,Business Analyst,Philippines,Makati,JOB_000002,LOC_0124,DEPT_0021,CAT_000,Normal-High,Asia Pacific,4,7.69,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Full-Time position."
Business Analyst,On-site,"Al-Dajeej, Al Farwaniyah Governorate, Kuwait",PWC Technologies,Full time,Al-Dajeej,Al Farwaniyah Governorate,Kuwait,On-Site,Full-Time,Technology & Data,Business Analyst,Kuwait,Al-Dajeej,JOB_000003,LOC_0002,DEPT_0173,CAT_000,Normal,Middle East & Africa,2,3.85,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,On-site,"London, England, United Kingdom","Consultants, Advisory",Full time,London,England,United Kingdom,On-Site,Full-Time,Consulting & Advisory,Business Analyst,United Kingdom,London,JOB_000004,LOC_0117,DEPT_0049,CAT_000,Normal,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Provide strategic analysis and recommendations to clients. Conduct requirements gathering, feasibility studies, and business process re-engineering. Strong skills in stakeholder management, PowerPoint, and data-driven decision making. This is an on-site Full-Time position."
Business Analyst,Remote,"London, England, United Kingdom",Change & Innovation,Not Specified,London,England,United Kingdom,Remote,Not Specified,Other,Business Analyst,United Kingdom,London,JOB_000009,LOC_0117,DEPT_0037,CAT_000,Normal,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a fully remote Not Specified position."
Business Analyst,On-site,"Islamabad, Islamabad Capital Territory, Pakistan","Data & Strategy, Performance Analytics",Full time,Islamabad,Islamabad Capital Territory,Pakistan,On-Site,Full-Time,Technology & Data,Business Analyst,Pakistan,Islamabad,JOB_000011,LOC_0094,DEPT_0075,CAT_000,Normal,Asia Pacific,3,5.77,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is an on-site Full-Time position."
Business Analyst,Remote,United States,Computer/Software,Full time,Unknown,Unknown,United States,Remote,Full-Time,Technology & Data,Business Analyst,United States,Unknown,JOB_000012,LOC_0235,DEPT_0047,CAT_000,Premium,North America,24,46.15,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a fully remote Full-Time position."
Business Analyst,Hybrid,"London, England, United Kingdom",Corporate Affairs,Full time,London,England,United Kingdom,Hybrid,Full-Time,Other,Business Analyst,United Kingdom,London,JOB_000013,LOC_0117,DEPT_0053,CAT_000,Normal-High,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Analyze business operations and support strategic decision making. Gather requirements, document processes, and deliver data-driven recommendations using Excel, SQL, and visualization tools. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Hybrid,"London, England, United Kingdom",Technology,Full time,London,England,United Kingdom,Hybrid,Full-Time,Technology & Data,Business Analyst,United Kingdom,London,JOB_000014,LOC_0117,DEPT_0240,CAT_000,Normal-High,Europe,52,100.0,2026-02-23 17:13:21,100,True,"Bridge the gap between business needs and technical solutions. Analyze data systems, write functional specifications, and collaborate with development teams. Proficient in SQL, data modeling, and Agile methodologies. This is a hybrid Full-Time role with flexible work arrangements."
Business Analyst,Hybrid,"Cary, North Carolina, United States",1 - Operations,Full time,Cary,North Carolina,United States,Hybrid,Full-Time,Operations,Business Analyst,United States,Cary,JOB_000015,LOC_0049,DEPT_0002,CAT_000,Normal-High,North America,1,1.92,2026-02-23 17:13:21,100,True,"Analyze business processes and operational workflows to identify improvement opportunities. Gather and document business requirements, create process maps, and work with stakeholders to implement solutions. Use SQL and Excel to analyze operational data and generate reports. This is a hybrid Full-Time role with flexible work arrangements."
